filename,A11,A12,A21,A22,obstacle_center_x,obstacle_center_y,radius
scenario_3_1.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,5,9,0.7
scenario_3_2.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,3,3,0.7
scenario_3_3.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,-3,3,0.7
scenario_3_4.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,-6,8,0.7
scenario_3_5.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,3,-5,0.7
scenario_3_6.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,-3,-3,0.7
scenario_3_7.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,-3,-8,0.7
scenario_3_8.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,3,-3,0.7
scenario_3_9.npz,-0.7324493086399291,-1.9927613701201754,1.833534521567052,-0.8295178970748105,-3,-3,0.7
scenario_4_0.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,3,5,0.7
scenario_4_1.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,5,9,0.7
scenario_4_2.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,3,3,0.7
scenario_4_3.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,-3,3,0.7
scenario_4_4.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,-6,8,0.7
scenario_4_5.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,3,-5,0.7
scenario_4_6.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,-3,-3,0.7
scenario_4_7.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,-3,-8,0.7
scenario_4_8.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,3,-3,0.7
scenario_4_9.npz,-1.0905576481309187,-2.094504436706082,2.3994978374006464,-0.7719659473343149,-3,-3,0.7
